Flow Type,Country,Country Code,Total Migrants,Male,Female,Male %,Continent,YEAR
Immigrants,Japan,392,40397,13937,26460,34.5,Asia,"2,010"
Immigrants,Turkey,792,39756,20633,19123,51.9,Asia,"2,010"
Immigrants,Bosnia and Herzegovina,70,39714,19897,19817,50.1,Europe,"2,010"
Immigrants,Iran,364,36536,19510,17026,53.4,Asia,"2,010"
Immigrants,Serbia,688,35147,17679,17468,50.3,Europe,"2,010"
Immigrants,Zimbabwe,716,33653,16860,16793,50.1,Africa,"2,010"
Immigrants,Cambodia,116,31666,14630,17036,46.2,Asia,"2,010"
Immigrants,Taiwan,158,31501,13419,18082,42.6,Asia,"2,010"
Immigrants,Afghanistan,4,30763,17073,13690,55.5,Asia,"2,010"
Immigrants,Pakistan,586,30553,18607,11946,60.9,Asia,"2,010"
Immigrants,Papua New Guinea,598,30064,13739,16325,45.7,Oceania,"2,010"
Immigrants,Bangladesh,50,29393,17459,11934,59.4,Asia,"2,010"
Immigrants,Chile,152,28291,13693,14598,48.4,South America,"2,010"
Immigrants,France,250,28213,14558,13655,51.6,Europe,"2,010"
Immigrants,Mauritius,480,26861,13457,13404,50.1,Africa,"2,010"
Immigrants,Nepal,524,26859,16787,10072,62.5,Asia,"2,010"
Immigrants,Sudan,729,24613,13045,11568,53,Africa,"2,010"
Immigrants,Myanmar,104,23064,11278,11786,48.9,Asia,"2,010"
Immigrants,Hungary,348,22824,11526,11298,50.5,Europe,"2,010"
Immigrants,Cyprus,196,21355,10571,10784,49.5,Asia,"2,010"
Immigrants,Russian Federation,643,20784,8043,12741,38.7,Europe,"2,010"
Immigrants,Samoa,882,20554,10154,10400,49.4,Oceania,"2,010"
Immigrants,Austria,40,20146,10677,9469,53,Europe,"2,010"
Immigrants,Portugal,620,18485,9520,8965,51.5,Europe,"2,010"
Immigrants,Romania,642,16639,8120,8519,48.8,Europe,"2,010"
Immigrants,Brazil,76,16476,7876,8600,47.8,South America,"2,010"
Immigrants,Ukraine,804,16347,6702,9645,41,Europe,"2,010"
Immigrants,Kenya,404,15303,7728,7575,50.5,Africa,"2,010"
Immigrants,Spain,724,14921,7565,7356,50.7,Europe,"2,010"
Immigrants,Switzerland,756,14059,7325,6734,52.1,Europe,"2,010"
Immigrants,Argentina,32,13703,6728,6975,49.1,South America,"2,010"
Immigrants,Czech Republic,203,13588,6631,6957,48.8,Europe,"2,010"
Immigrants,Saudi Arabia,682,12383,7876,4507,63.6,Asia,"2,010"
Immigrants,Colombia,170,12284,5859,6425,47.7,South America,"2,010"
Immigrants,Laos,418,11136,5323,5813,47.8,Asia,"2,010"
Immigrants,El Salvador,222,10945,5341,5604,48.8,Central America,"2,010"
Immigrants,Israel,376,10688,5975,4713,55.9,Asia,"2,010"
Immigrants,Uruguay,858,10621,5109,5512,48.1,South America,"2,010"
Immigrants,Denmark,208,10609,5570,5039,52.5,Europe,"2,010"
Immigrants,Timor-Leste,626,10587,5251,5336,49.6,Asia,"2,010"
Immigrants,Tonga,776,10092,5238,4854,51.9,Oceania,"2,010"
Immigrants,Sweden,752,10039,4497,5542,44.8,Europe,"2,010"
Immigrants,Peru,604,9577,4300,5277,44.9,South America,"2,010"
Immigrants,Finland,246,9523,4076,5447,42.8,Europe,"2,010"
Immigrants,Syrian Arab Republic,760,9358,4595,4763,49.1,Asia,"2,010"
Immigrants,Ethiopia,231,8939,4434,4505,49.6,Africa,"2,010"
Immigrants,Slovenia,705,8382,4233,4149,50.5,Europe,"2,010"
Immigrants,Belgium,56,6517,3232,3285,49.6,Europe,"2,010"
Immigrants,Zambia,894,6165,3107,3058,50.4,Africa,"2,010"
Immigrants,Somalia,706,6155,2985,3170,48.5,Africa,"2,010"
Immigrants,Slovakia,703,5998,2819,3179,47,Europe,"2,010"
Immigrants,Latvia,428,5582,2361,3221,42.3,Europe,"2,010"
Immigrants,Jordan,400,5250,2982,2268,56.8,Asia,"2,010"
Immigrants,United Arab Emirates,784,5215,3014,2201,57.8,Asia,"2,010"
Immigrants,Nigeria,566,4631,2742,1889,59.2,Africa,"2,010"
Immigrants,Norway,578,4347,2069,2278,47.6,Europe,"2,010"
Immigrants,Kuwait,414,4321,2493,1828,57.7,Asia,"2,010"
Immigrants,Ghana,288,4192,2259,1933,53.9,Africa,"2,010"
Immigrants,Tanzania,834,3820,2067,1753,54.1,Africa,"2,010"
Immigrants,Bulgaria,100,3605,1712,1893,47.5,Europe,"2,010"
Immigrants,Mexico,484,3388,1670,1718,49.3,North America,"2,010"
Immigrants,Venezuela,862,3324,1619,1705,48.7,South America,"2,010"
Immigrants,Sierra Leone,694,3265,1655,1610,50.7,Africa,"2,010"
Immigrants,Lithuania,440,3090,1319,1771,42.7,Europe,"2,010"
Immigrants,Eritrea,232,3072,1530,1542,49.8,Africa,"2,010"
Immigrants,State of Palestine,275,3061,1736,1325,56.7,Asia,"2,010"
Immigrants,Brunei Darussalam,96,3030,1491,1539,49.2,Asia,"2,010"
Immigrants,Seychelles,690,2977,1363,1614,45.8,Africa,"2,010"
Immigrants,Liberia,430,2884,1370,1514,47.5,Africa,"2,010"
Immigrants,Albania,8,2872,1465,1407,51,Europe,"2,010"
Immigrants,Uganda,800,2859,1447,1412,50.6,Africa,"2,010"
Immigrants,"China, Macao SAR",446,2558,1172,1386,45.8,Asia,"2,010"
Immigrants,D.R. Congo,180,2423,1226,1197,50.6,Africa,"2,010"
Immigrants,Libya,434,2395,1322,1073,55.2,Africa,"2,010"
Immigrants,Estonia,233,2228,1009,1219,45.3,Europe,"2,010"
Immigrants,Solomon Islands,90,1944,873,1071,44.9,Oceania,"2,010"
Immigrants,Ecuador,218,1934,948,986,49,South America,"2,010"
Immigrants,Montenegro,499,1876,955,921,50.9,Europe,"2,010"
Immigrants,Burundi,108,1850,936,914,50.6,Africa,"2,010"
Immigrants,Belarus,112,1840,756,1084,41.1,Europe,"2,010"
Immigrants,Morocco,504,1805,1054,751,58.4,Africa,"2,010"
Immigrants,Bhutan,64,1700,858,842,50.5,Asia,"2,010"
Immigrants,Trinidad and Tobago,780,1693,852,841,50.3,North America,"2,010"
Immigrants,New Caledonia,540,1442,656,786,45.5,Oceania,"2,010"
Immigrants,Algeria,12,1382,851,531,61.6,Africa,"2,010"
Immigrants,Bahrain,48,1353,748,605,55.3,Asia,"2,010"
Immigrants,Uzbekistan,860,1303,601,702,46.1,Asia,"2,010"
Immigrants,Vanuatu,548,1283,611,672,47.6,Oceania,"2,010"
Immigrants,Oman,512,1237,725,512,58.6,Asia,"2,010"
Immigrants,Armenia,51,1199,546,653,45.5,Asia,"2,010"
Immigrants,Kazakhstan,398,1190,446,744,37.5,Asia,"2,010"
Immigrants,Botswana,72,1120,587,533,52.4,Africa,"2,010"
Immigrants,Jamaica,388,1098,584,514,53.2,North America,"2,010"
Immigrants,Namibia,516,1097,553,544,50.4,Africa,"2,010"
Immigrants,Malawi,454,1023,514,509,50.2,Africa,"2,010"
Immigrants,Congo,178,1022,564,458,55.2,Africa,"2,010"
Immigrants,Republic of Moldova,498,1000,444,556,44.4,Europe,"2,010"
Immigrants,Mozambique,508,870,439,431,50.5,Africa,"2,010"
Immigrants,Bolivia,68,863,404,459,46.8,South America,"2,010"
Immigrants,Nicaragua,558,818,385,433,47.1,Central America,"2,010"
Immigrants,Cuba,192,745,392,353,52.6,North America,"2,010"
Immigrants,Iceland,352,705,366,339,51.9,Europe,"2,010"
Immigrants,Mongolia,496,700,302,398,43.1,Asia,"2,010"
Immigrants,Qatar,634,654,376,278,57.5,Asia,"2,010"
Immigrants,South Sudan,728,648,380,268,58.6,Africa,"2,010"
Immigrants,Guinea,324,642,316,326,49.2,Africa,"2,010"
Immigrants,Rwanda,646,609,287,322,47.1,Africa,"2,010"
Immigrants,Guyana,328,602,280,322,46.5,South America,"2,010"
Immigrants,Kiribati,296,598,223,375,37.3,Oceania,"2,010"
Immigrants,Yemen,887,595,326,269,54.8,Asia,"2,010"
Immigrants,Tunisia,788,572,333,239,58.2,Africa,"2,010"
Immigrants,Angola,24,528,281,247,53.2,Africa,"2,010"
Immigrants,Georgia,268,487,227,260,46.6,Asia,"2,010"
Immigrants,Côte d'Ivoire,384,467,238,229,51,Africa,"2,010"
Immigrants,French Polynesia,258,465,186,279,40,Oceania,"2,010"
Immigrants,Paraguay,600,443,205,238,46.3,South America,"2,010"
Immigrants,Costa Rica,188,437,229,208,52.4,Central America,"2,010"
Immigrants,Barbados,52,428,230,198,53.7,North America,"2,010"
Immigrants,Maldives,462,423,188,235,44.4,Asia,"2,010"
Immigrants,Azerbaijan,31,422,179,243,42.4,Asia,"2,010"
Immigrants,Guatemala,320,414,194,220,46.9,Central America,"2,010"
Immigrants,Senegal,686,370,233,137,63,Africa,"2,010"
Immigrants,Kyrgyzstan,417,362,150,212,41.4,Asia,"2,010"
Immigrants,Swaziland,748,340,171,169,50.3,Africa,"2,010"
Immigrants,Bahamas,44,282,124,158,44,North America,"2,010"
Immigrants,Togo,768,278,142,136,51.1,Africa,"2,010"
Immigrants,Cameroon,120,268,168,100,62.7,Africa,"2,010"
Immigrants,Madagascar,450,263,112,151,42.6,Africa,"2,010"
Immigrants,Honduras,340,240,120,120,50,Central America,"2,010"
Immigrants,Panama,591,218,128,90,58.7,Central America,"2,010"
Immigrants,Luxembourg,442,212,100,112,47.2,Europe,"2,010"
Immigrants,Réunion,638,210,90,120,42.9,Africa,"2,010"
Immigrants,Puerto Rico,630,145,67,78,46.2,North America,"2,010"
Immigrants,Dominican Republic,214,141,60,81,42.6,North America,"2,010"
Immigrants,Djibouti,262,134,64,70,47.8,Africa,"2,010"
Immigrants,Grenada,308,130,79,51,60.8,North America,"2,010"
Immigrants,Suriname,740,120,50,70,41.7,South America,"2,010"
Immigrants,Curaçao,531,117,50,67,42.7,America,"2,010"
Immigrants,Lesotho,426,112,54,58,48.2,Africa,"2,010"
Immigrants,Haiti,332,102,44,58,43.1,North America,"2,010"
Immigrants,Gambia,270,102,62,40,60.8,Africa,"2,010"
Immigrants,Tajikistan,762,100,32,68,32,Asia,"2,010"
Immigrants,Guam,316,97,52,45,53.6,Oceania,"2,010"
Immigrants,Turkmenistan,795,88,22,66,25,Asia,"2,010"
Immigrants,Benin,204,80,49,31,61.3,Africa,"2,010"
Immigrants,Monaco,492,68,30,38,44.1,Europe,"2,010"
Immigrants,Belize,84,62,24,38,38.7,Central America,"2,010"
Immigrants,Aruba,533,60,30,30,50,North America,"2,010"
Immigrants,Chad,148,57,37,20,64.9,Africa,"2,010"
Immigrants,Mali,466,57,37,20,64.9,Africa,"2,010"
Immigrants,Saint Vincent and the Grenadines,670,56,32,24,57.1,North America,"2,010"
Immigrants,Saint Lucia,662,50,30,20,60,North America,"2,010"
Immigrants,Antigua and Barbuda,28,40,18,22,45,North America,"2,010"
Immigrants,Burkina Faso,854,40,22,18,55,Africa,"2,010"
Immigrants,Gabon,266,30,12,18,40,Africa,"2,010"
Immigrants,Central African Republic,140,20,10,10,50,Africa,"2,010"
Emigrants,United Kingdom,826,124989,58620,66369,46.9,Europe,"2,010"
Emigrants,New Zealand,554,62683,29210,33473,46.6,Australia,"2,010"
Emigrants,Canada,124,24105,12197,11908,50.6,North America,"2,010"
Emigrants,Greece,300,21417,9680,11737,45.2,Europe,"2,010"
Emigrants,Italy,380,18635,8143,10492,43.7,Europe,"2,010"
Emigrants,China,156,12987,7597,5390,58.5,Asia,"2,010"
Emigrants,Singapore,702,11305,5924,5381,52.4,Asia,"2,010"
Emigrants,Japan,392,9902,6327,3575,63.9,Asia,"2,010"
Emigrants,Papua New Guinea,598,9056,6095,2961,67.3,Oceania,"2,010"
Emigrants,"China, Hong Kong SAR",344,8903,4727,4176,53.1,Asia,"2,010"
Emigrants,Ireland,372,6205,3084,3121,49.7,Europe,"2,010"
Emigrants,Indonesia,360,4168,2217,1951,53.2,Asia,"2,010"
Emigrants,Malta,470,3461,1592,1869,46,Europe,"2,010"
Emigrants,Philippines,608,3357,2145,1212,63.9,Asia,"2,010"
Emigrants,Israel,376,3226,1574,1652,48.8,Asia,"2,010"
Emigrants,Cyprus,196,3126,1500,1626,48,Asia,"2,010"
Emigrants,South Africa,710,2739,1397,1342,51,Africa,"2,010"
Emigrants,Denmark,208,2546,1339,1207,52.6,Europe,"2,010"
Emigrants,Malaysia,458,2433,1343,1090,55.2,Asia,"2,010"
Emigrants,India,356,2082,1060,1022,50.9,Asia,"2,010"
Emigrants,Fiji,242,1832,980,852,53.5,Oceania,"2,010"
Emigrants,Norway,578,1770,1044,726,59,Europe,"2,010"
Emigrants,Croatia,191,1585,751,834,47.4,Europe,"2,010"
Emigrants,Argentina,32,1192,550,642,46.1,South America,"2,010"
Emigrants,Portugal,620,1061,491,570,46.3,Europe,"2,010"
Emigrants,Chile,152,1058,547,511,51.7,South America,"2,010"
Emigrants,Hungary,348,942,469,473,49.8,Europe,"2,010"
Emigrants,Finland,246,916,544,372,59.4,Europe,"2,010"
Emigrants,Egypt,818,874,568,306,65,Africa,"2,010"
Emigrants,Poland,616,785,481,304,61.3,Europe,"2,010"
Emigrants,Taiwan,158,732,515,217,70.4,Asia,"2,010"
Emigrants,Libya,434,667,468,199,70.2,Africa,"2,010"
Emigrants,Vanuatu,548,612,305,307,49.8,Oceania,"2,010"
Emigrants,Brazil,76,573,432,141,75.4,South America,"2,010"
Emigrants,Timor-Leste,626,543,256,287,47.1,Asia,"2,010"
Emigrants,Namibia,516,536,208,328,38.8,Africa,"2,010"
Emigrants,Brunei Darussalam,96,504,276,228,54.8,Asia,"2,010"
Emigrants,Serbia,688,502,235,267,46.8,Europe,"2,010"
Emigrants,Peru,604,500,279,221,55.8,South America,"2,010"
Emigrants,Sri Lanka,144,465,229,236,49.2,Asia,"2,010"
Emigrants,Mexico,484,431,220,211,51,North America,"2,010"
Emigrants,Slovenia,705,393,202,191,51.4,Europe,"2,010"
Emigrants,Samoa,882,346,192,154,55.5,Oceania,"2,010"
Emigrants,Botswana,72,338,163,175,48.2,Africa,"2,010"
Emigrants,New Caledonia,540,337,150,187,44.5,Oceania,"2,010"
Emigrants,Solomon Islands,90,298,167,131,56,Oceania,"2,010"
Emigrants,Colombia,170,276,132,144,47.8,South America,"2,010"
Emigrants,Zambia,894,264,136,128,51.5,Africa,"2,010"
Emigrants,Ecuador,218,262,143,119,54.6,South America,"2,010"
Emigrants,Panama,591,238,165,73,69.3,Central America,"2,010"
Emigrants,Slovakia,703,222,117,105,52.7,Europe,"2,010"
Emigrants,Bolivia,68,196,108,88,55.1,South America,"2,010"
Emigrants,Mongolia,496,189,124,65,65.6,Asia,"2,010"
Emigrants,Dem. People's Republic of Korea,408,183,98,85,53.6,Asia,"2,010"
Emigrants,Latvia,428,166,106,60,63.9,Europe,"2,010"
Emigrants,Uganda,800,163,75,88,46,Africa,"2,010"
Emigrants,Venezuela,862,141,74,67,52.5,South America,"2,010"
Emigrants,Cambodia,116,129,85,44,65.9,Asia,"2,010"
Emigrants,Bulgaria,100,129,70,59,54.3,Europe,"2,010"
Emigrants,Azerbaijan,31,129,60,69,46.5,Asia,"2,010"
Emigrants,Montenegro,499,122,39,83,32,Europe,"2,010"
Emigrants,Laos,418,110,76,34,69.1,Asia,"2,010"
Emigrants,Iceland,352,86,39,47,45.3,Europe,"2,010"
Emigrants,Kiribati,296,81,45,36,55.6,Oceania,"2,010"
Emigrants,Bahamas,44,77,39,38,50.6,North America,"2,010"
Emigrants,French Polynesia,258,74,36,38,48.6,Oceania,"2,010"
Emigrants,Costa Rica,188,67,33,34,49.3,Central America,"2,010"
Emigrants,Maldives,462,67,51,16,76.1,Asia,"2,010"
Emigrants,Estonia,233,63,44,19,69.8,Europe,"2,010"
Emigrants,Guatemala,320,61,37,24,60.7,Central America,"2,010"
Emigrants,Luxembourg,442,50,27,23,54,Europe,"2,010"
Emigrants,Seychelles,690,46,23,23,50,Africa,"2,010"
Emigrants,Swaziland,748,44,24,20,54.5,Africa,"2,010"
Emigrants,Lithuania,440,44,35,9,79.5,Europe,"2,010"
Emigrants,Dominican Republic,214,39,26,13,66.7,North America,"2,010"
Emigrants,Ghana,288,27,11,16,40.7,Africa,"2,010"
Emigrants,El Salvador,222,26,10,16,38.5,Central America,"2,010"
Emigrants,Belarus,112,26,10,16,38.5,Europe,"2,010"
Emigrants,Bhutan,64,25,20,5,80,Asia,"2,010"
Emigrants,Barbados,52,23,11,12,47.8,North America,"2,010"
Emigrants,Central African Republic,140,13,6,7,46.2,Africa,"2,010"
Emigrants,Saint Lucia,662,13,4,9,30.8,North America,"2,010"
Emigrants,Antigua and Barbuda,28,7,4,3,57.1,North America,"2,010"
Immigrants,United Kingdom,826,1206060,613885,592175,50.9,Europe,"2,015"
Immigrants,New Zealand,554,575163,293333,281830,51,Australia,"2,015"
Immigrants,China,156,509635,226788,282847,44.5,Asia,"2,015"
Immigrants,India,356,448940,244223,204717,54.4,Asia,"2,015"
Immigrants,Philippines,608,241235,94805,146430,39.3,Asia,"2,015"
Immigrants,Viet Nam,704,235732,107022,128710,45.4,Asia,"2,015"
Immigrants,Italy,380,198440,102593,95847,51.7,Europe,"2,015"
Immigrants,South Africa,710,177482,88386,89096,49.8,Africa,"2,015"
Immigrants,Malaysia,458,144205,67488,76717,46.8,Asia,"2,015"
Immigrants,Sri Lanka,144,119760,61916,57844,51.7,Asia,"2,015"
Immigrants,Germany,276,118882,56350,62532,47.4,Europe,"2,015"
Immigrants,Greece,300,115825,56407,59418,48.7,Europe,"2,015"
Immigrants,Republic of Korea,410,106655,50235,56420,47.1,Asia,"2,015"
Immigrants,United States of America,840,104434,52948,51486,50.7,North America,"2,015"
Immigrants,"China, Hong Kong SAR",344,95107,45937,49170,48.3,Asia,"2,015"
Immigrants,Lebanon,422,93227,48571,44656,52.1,Asia,"2,015"
Immigrants,Ireland,372,90665,48506,42159,53.5,Europe,"2,015"
Immigrants,Netherlands,528,80566,40928,39638,50.8,Europe,"2,015"
Immigrants,Indonesia,360,76976,33485,43491,43.5,Asia,"2,015"
Immigrants,Fiji,242,72652,34001,38651,46.8,Oceania,"2,015"
Immigrants,Iraq,368,70625,36442,34183,51.6,Asia,"2,015"
Immigrants,Thailand,764,66376,21572,44804,32.5,Asia,"2,015"
Immigrants,Pakistan,586,62116,37704,24412,60.7,Asia,"2,015"
Immigrants,Croatia,191,61762,31005,30757,50.2,Europe,"2,015"
Immigrants,Iran,364,61710,32768,28942,53.1,Asia,"2,015"
Immigrants,Singapore,702,59325,27705,31620,46.7,Asia,"2,015"
Immigrants,Poland,616,54501,23653,30848,43.4,Europe,"2,015"
Immigrants,Canada,124,52593,24456,28137,46.5,North America,"2,015"
Immigrants,Taiwan,158,52135,22157,29978,42.5,Asia,"2,015"
Immigrants,Nepal,524,50235,27981,22254,55.7,Asia,"2,015"
Immigrants,TFYR Macedonia,807,49963,25081,24882,50.2,Europe,"2,015"
Immigrants,Afghanistan,4,49616,28926,20690,58.3,Asia,"2,015"
Immigrants,Japan,392,47609,15425,32184,32.4,Asia,"2,015"
Immigrants,Egypt,818,44717,23298,21419,52.1,Africa,"2,015"
Immigrants,Malta,470,44062,22339,21723,50.7,Europe,"2,015"
Immigrants,Bangladesh,50,43074,23906,19168,55.5,Asia,"2,015"
Immigrants,Zimbabwe,716,40243,20081,20162,49.9,Africa,"2,015"
Immigrants,Turkey,792,39817,20625,19192,51.8,Asia,"2,015"
Immigrants,Bosnia and Herzegovina,70,36757,18195,18562,49.5,Europe,"2,015"
Immigrants,France,250,36539,19037,17502,52.1,Europe,"2,015"
Immigrants,Cambodia,116,34438,15669,18769,45.5,Asia,"2,015"
Immigrants,Serbia,688,33796,16695,17101,49.4,Europe,"2,015"
Immigrants,Papua New Guinea,598,33592,15184,18408,45.2,Oceania,"2,015"
Immigrants,Myanmar,104,32170,15956,16214,49.6,Asia,"2,015"
Immigrants,Chile,152,30250,14641,15609,48.4,South America,"2,015"
Immigrants,Mauritius,480,28687,14171,14516,49.4,Africa,"2,015"
Immigrants,Samoa,882,27802,13845,13957,49.8,Oceania,"2,015"
Immigrants,Brazil,76,27395,12903,14492,47.1,South America,"2,015"
Immigrants,Russian Federation,643,25738,9832,15906,38.2,Europe,"2,015"
Immigrants,Hungary,348,21140,10401,10739,49.2,Europe,"2,015"
Immigrants,Cyprus,196,20077,9878,10199,49.2,Asia,"2,015"
Immigrants,Colombia,170,19945,9254,10691,46.4,South America,"2,015"
Immigrants,Kenya,404,19736,9769,9967,49.5,Africa,"2,015"
Immigrants,Sudan,729,19698,10046,9652,51,Africa,"2,015"
Immigrants,Portugal,620,19148,9823,9325,51.3,Europe,"2,015"
Immigrants,Austria,40,17969,9326,8643,51.9,Europe,"2,015"
Immigrants,Spain,724,17736,8974,8762,50.6,Europe,"2,015"
Immigrants,Ukraine,804,17064,7099,9965,41.6,Europe,"2,015"
Immigrants,Romania,642,17054,8186,8868,48,Europe,"2,015"
Immigrants,Argentina,32,15530,7532,7998,48.5,South America,"2,015"
Immigrants,Saudi Arabia,682,14386,8071,6315,56.1,Asia,"2,015"
Immigrants,Switzerland,756,14177,7330,6847,51.7,Europe,"2,015"
Immigrants,Syrian Arab Republic,760,13864,6710,7154,48.4,Asia,"2,015"
Immigrants,Czech Republic,203,13236,6221,7015,47,Europe,"2,015"
Immigrants,Ethiopia,231,13123,6365,6758,48.5,Africa,"2,015"
Immigrants,Tonga,776,11862,6299,5563,53.1,Oceania,"2,015"
Immigrants,Sweden,752,11485,4824,6661,42,Europe,"2,015"
Immigrants,El Salvador,222,11360,5510,5850,48.5,Central America,"2,015"
Immigrants,Peru,604,11282,4908,6374,43.5,South America,"2,015"
Immigrants,Israel,376,11250,6311,4939,56.1,Asia,"2,015"
Immigrants,Laos,418,11020,5168,5852,46.9,Asia,"2,015"
Immigrants,Uruguay,858,10589,5062,5527,47.8,South America,"2,015"
Immigrants,Denmark,208,10235,5302,4933,51.8,Europe,"2,015"
Immigrants,Timor-Leste,626,9992,4966,5026,49.7,Asia,"2,015"
Immigrants,Finland,246,9175,3734,5441,40.7,Europe,"2,015"
Immigrants,Somalia,706,8686,4204,4482,48.4,Africa,"2,015"
Immigrants,Nigeria,566,8412,5064,3348,60.2,Africa,"2,015"
Immigrants,United Arab Emirates,784,8122,4297,3825,52.9,Asia,"2,015"
Immigrants,Slovenia,705,8068,4034,4034,50,Europe,"2,015"
Immigrants,South Sudan,728,7511,4139,3372,55.1,Africa,"2,015"
Immigrants,Zambia,894,7323,3603,3720,49.2,Africa,"2,015"
Immigrants,Belgium,56,7288,3673,3615,50.4,Europe,"2,015"
Immigrants,Slovakia,703,6701,3103,3598,46.3,Europe,"2,015"
Immigrants,Kuwait,414,6575,3919,2656,59.6,Asia,"2,015"
Immigrants,Jordan,400,6554,3644,2910,55.6,Asia,"2,015"
Immigrants,Ghana,288,5909,3232,2677,54.7,Africa,"2,015"
Immigrants,Bhutan,64,5834,2975,2859,51,Asia,"2,015"
Immigrants,Venezuela,862,5771,2886,2885,50,South America,"2,015"
Immigrants,Mexico,484,5410,2624,2786,48.5,North America,"2,015"
Immigrants,Latvia,428,4992,1992,3000,39.9,Europe,"2,015"
Immigrants,Eritrea,232,4662,2284,2378,49,Africa,"2,015"
Immigrants,Tanzania,834,4495,2382,2113,53,Africa,"2,015"
Immigrants,Norway,578,4382,1946,2436,44.4,Europe,"2,015"
Immigrants,D.R. Congo,180,4318,2168,2150,50.2,Africa,"2,015"
Immigrants,Sierra Leone,694,3989,1987,2002,49.8,Africa,"2,015"
Immigrants,Bulgaria,100,3939,1820,2119,46.2,Europe,"2,015"
Immigrants,Uganda,800,3800,1915,1885,50.4,Africa,"2,015"
Immigrants,Liberia,430,3518,1675,1843,47.6,Africa,"2,015"
Immigrants,Albania,8,3447,1775,1672,51.5,Europe,"2,015"
Immigrants,Estonia,233,3443,1450,1993,42.1,Europe,"2,015"
Immigrants,Lithuania,440,3374,1370,2004,40.6,Europe,"2,015"
Immigrants,State of Palestine,275,3194,1801,1393,56.4,Asia,"2,015"
Immigrants,Seychelles,690,3025,1376,1649,45.5,Africa,"2,015"
Immigrants,Brunei Darussalam,96,2893,1392,1501,48.1,Asia,"2,015"
Immigrants,Libya,434,2797,1482,1315,53,Africa,"2,015"
Immigrants,"China, Macao SAR",446,2781,1226,1555,44.1,Asia,"2,015"
Immigrants,Ecuador,218,2758,1357,1401,49.2,South America,"2,015"
Immigrants,Burundi,108,2385,1212,1173,50.8,Africa,"2,015"
Immigrants,Solomon Islands,90,2295,1033,1262,45,Oceania,"2,015"
Immigrants,Belarus,112,2177,884,1293,40.6,Europe,"2,015"
Immigrants,Morocco,504,2163,1198,965,55.4,Africa,"2,015"
Immigrants,Montenegro,499,2033,1021,1012,50.2,Europe,"2,015"
Immigrants,Kazakhstan,398,1911,701,1210,36.7,Asia,"2,015"
Immigrants,Trinidad and Tobago,780,1905,964,941,50.6,North America,"2,015"
Immigrants,Uzbekistan,860,1838,807,1031,43.9,Asia,"2,015"
Immigrants,Mongolia,496,1782,773,1009,43.4,Asia,"2,015"
Immigrants,Bahrain,48,1734,935,799,53.9,Asia,"2,015"
Immigrants,Congo,178,1606,784,822,48.8,Africa,"2,015"
Immigrants,Algeria,12,1606,972,634,60.5,Africa,"2,015"
Immigrants,Oman,512,1577,841,736,53.3,Asia,"2,015"
Immigrants,New Caledonia,540,1553,682,871,43.9,Oceania,"2,015"
Immigrants,Armenia,51,1463,639,824,43.7,Asia,"2,015"
Immigrants,Namibia,516,1436,712,724,49.6,Africa,"2,015"
Immigrants,Malawi,454,1414,696,718,49.2,Africa,"2,015"
Immigrants,Vanuatu,548,1390,705,685,50.7,Oceania,"2,015"
Immigrants,Botswana,72,1327,660,667,49.7,Africa,"2,015"
Immigrants,Jamaica,388,1279,680,599,53.2,North America,"2,015"
Immigrants,Republic of Moldova,498,1153,515,638,44.7,Europe,"2,015"
Immigrants,Qatar,634,1111,605,506,54.5,Asia,"2,015"
Immigrants,Bolivia,68,1058,495,563,46.8,South America,"2,015"
Immigrants,Mozambique,508,1006,488,518,48.5,Africa,"2,015"
Immigrants,Rwanda,646,981,467,514,47.6,Africa,"2,015"
Immigrants,Guinea,324,933,472,461,50.6,Africa,"2,015"
Immigrants,Cuba,192,882,482,400,54.6,North America,"2,015"
Immigrants,Nicaragua,558,863,402,461,46.6,Central America,"2,015"
Immigrants,Yemen,887,715,401,314,56.1,Asia,"2,015"
Immigrants,Guyana,328,661,311,350,47,South America,"2,015"
Immigrants,Tunisia,788,658,384,274,58.4,Africa,"2,015"
Immigrants,Azerbaijan,31,647,271,376,41.9,Asia,"2,015"
Immigrants,Kiribati,296,645,244,401,37.8,Oceania,"2,015"
Immigrants,Georgia,268,624,290,334,46.5,Asia,"2,015"
Immigrants,Iceland,352,608,324,284,53.3,Europe,"2,015"
Immigrants,Maldives,462,599,277,322,46.2,Asia,"2,015"
Immigrants,Côte d'Ivoire,384,595,306,289,51.4,Africa,"2,015"
Immigrants,Angola,24,560,292,268,52.1,Africa,"2,015"
Immigrants,Guatemala,320,536,250,286,46.6,Central America,"2,015"
Immigrants,French Polynesia,258,535,234,301,43.7,Oceania,"2,015"
Immigrants,Costa Rica,188,505,255,250,50.5,Central America,"2,015"
Immigrants,Paraguay,600,499,227,272,45.5,South America,"2,015"
Immigrants,Kyrgyzstan,417,492,180,312,36.6,Asia,"2,015"
Immigrants,Barbados,52,450,240,210,53.3,North America,"2,015"
Immigrants,Cameroon,120,450,264,186,58.7,Africa,"2,015"
Immigrants,Senegal,686,437,272,165,62.2,Africa,"2,015"
Immigrants,Swaziland,748,385,180,205,46.8,Africa,"2,015"
Immigrants,Togo,768,370,191,179,51.6,Africa,"2,015"
Immigrants,Honduras,340,315,147,168,46.7,Central America,"2,015"
