FlowType,Country,CountryCode,TotalMigrants,Male,Female,MalePct,Continent,Year
Immigrants,Norway,578,2299.0,1333.0,966.0,58.0%,Europe,1990
Immigrants,Jordan,400,2294.0,1305.0,989.0,56.9%,Asia,1990
Immigrants,Zambia,894,2262.0,1147.0,1115.0,50.7%,Africa,1990
Immigrants,Bulgaria,100,2196.0,1291.0,905.0,58.8%,Europe,1990
Immigrants,Brazil,76,2122.0,985.0,1137.0,46.4%,South America,1990
Immigrants,"China, Macao SAR",446,1753.0,806.0,947.0,46.0%,Asia,1990
Immigrants,Colombia,170,1610.0,755.0,855.0,46.9%,South America,1990
Immigrants,Brunei Darussalam,96,1545.0,802.0,743.0,51.9%,Asia,1990
Immigrants,Ethiopia,231,1491.0,805.0,686.0,54.0%,Africa,1990
Immigrants,Sudan,729,1375.0,785.0,590.0,57.1%,Africa,1990
Immigrants,Tanzania,834,1358.0,785.0,573.0,57.8%,Africa,1990
Immigrants,Somalia,706,1273.0,673.0,600.0,52.9%,Africa,1990
Immigrants,Trinidad and Tobago,780,1220.0,617.0,603.0,50.6%,North America,1990
Immigrants,Ecuador,218,1183.0,599.0,584.0,50.6%,South America,1990
Immigrants,Kuwait,414,1159.0,617.0,542.0,53.2%,Asia,1990
Immigrants,Ghana,288,1114.0,648.0,466.0,58.2%,Africa,1990
Immigrants,New Caledonia,540,1076.0,450.0,626.0,41.8%,Oceania,1990
Immigrants,Belarus,112,1075.0,510.0,565.0,47.4%,Europe,1990
Immigrants,Solomon Islands,90,1067.0,366.0,701.0,34.3%,Oceania,1990
Immigrants,Morocco,504,1029.0,691.0,338.0,67.2%,Africa,1990
Immigrants,Libya,434,1021.0,568.0,453.0,55.6%,Africa,1990
Immigrants,Uganda,800,995.0,556.0,439.0,55.9%,Africa,1990
Immigrants,Nigeria,566,927.0,580.0,347.0,62.6%,Africa,1990
Immigrants,Vanuatu,548,921.0,284.0,637.0,30.8%,Oceania,1990
Immigrants,Eritrea,232,865.0,457.0,408.0,52.8%,Africa,1990
Immigrants,Nicaragua,558,858.0,412.0,446.0,48.0%,Central America,1990
Immigrants,Jamaica,388,835.0,428.0,407.0,51.3%,North America,1990
Immigrants,Albania,8,822.0,478.0,344.0,58.2%,Europe,1990
Immigrants,Nepal,524,799.0,558.0,241.0,69.8%,Asia,1990
Immigrants,Armenia,51,797.0,402.0,395.0,50.4%,Asia,1990
Immigrants,Algeria,12,696.0,454.0,242.0,65.2%,Africa,1990
Immigrants,Mexico,484,632.0,301.0,331.0,47.6%,North America,1990
Immigrants,Saudi Arabia,682,599.0,379.0,220.0,63.3%,Asia,1990
Immigrants,United Arab Emirates,784,545.0,318.0,227.0,58.3%,Asia,1990
Immigrants,Bolivia,68,534.0,264.0,270.0,49.4%,South America,1990
Immigrants,Venezuela,862,501.0,236.0,265.0,47.1%,South America,1990
Immigrants,Bahrain,48,483.0,266.0,217.0,55.1%,Asia,1990
Immigrants,Guyana,328,480.0,215.0,265.0,44.8%,South America,1990
Immigrants,Tunisia,788,461.0,283.0,178.0,61.4%,Africa,1990
Immigrants,Cuba,192,423.0,216.0,207.0,51.1%,North America,1990
Immigrants,Mozambique,508,397.0,218.0,179.0,54.9%,Africa,1990
Immigrants,Angola,24,359.0,190.0,169.0,52.9%,Africa,1990
Immigrants,Kiribati,296,350.0,105.0,245.0,30.0%,Oceania,1990
Immigrants,Barbados,52,341.0,194.0,147.0,56.9%,North America,1990
Immigrants,Malawi,454,329.0,171.0,158.0,52.0%,Africa,1990
Immigrants,Costa Rica,188,323.0,185.0,138.0,57.3%,Central America,1990
Immigrants,Iceland,352,289.0,159.0,130.0,55.0%,Europe,1990
Immigrants,Republic of Moldova,498,285.0,143.0,142.0,50.2%,Europe,1990
Immigrants,Paraguay,600,272.0,130.0,142.0,47.8%,South America,1990
Immigrants,Bahamas,44,218.0,100.0,118.0,45.9%,North America,1990
Immigrants,Guatemala,320,218.0,105.0,113.0,48.2%,Central America,1990
Immigrants,French Polynesia,258,212.0,86.0,126.0,40.6%,Oceania,1990
Immigrants,Namibia,516,207.0,106.0,101.0,51.2%,Africa,1990
Immigrants,Yemen,887,203.0,118.0,85.0,58.1%,Asia,1990
Immigrants,Uzbekistan,860,193.0,98.0,95.0,50.8%,Asia,1990
Immigrants,D.R. Congo,180,183.0,92.0,91.0,50.3%,Africa,1990
Immigrants,Senegal,686,156.0,100.0,56.0,64.1%,Africa,1990
Immigrants,Honduras,340,141.0,73.0,68.0,51.8%,Central America,1990
Immigrants,Georgia,268,130.0,64.0,66.0,49.2%,Asia,1990
Immigrants,Maldives,462,128.0,51.0,77.0,39.8%,Asia,1990
Immigrants,Botswana,72,115.0,69.0,46.0,60.0%,Africa,1990
Immigrants,Swaziland,748,114.0,59.0,55.0,51.8%,Africa,1990
Immigrants,Madagascar,450,114.0,58.0,56.0,50.9%,Africa,1990
Immigrants,Panama,591,106.0,62.0,44.0,58.5%,Central America,1990
Immigrants,Luxembourg,442,103.0,49.0,54.0,47.6%,Europe,1990
Immigrants,Sierra Leone,694,97.0,52.0,45.0,53.6%,Africa,1990
Immigrants,Mongolia,496,97.0,39.0,58.0,40.2%,Asia,1990
Immigrants,Qatar,634,94.0,58.0,36.0,61.7%,Asia,1990
Immigrants,Kazakhstan,398,94.0,38.0,56.0,40.4%,Asia,1990
Immigrants,Grenada,308,87.0,41.0,46.0,47.1%,North America,1990
Immigrants,Curaçao,531,81.0,36.0,45.0,44.4%,America,1990
Immigrants,Oman,512,74.0,46.0,28.0,62.2%,Asia,1990
Immigrants,Haiti,332,72.0,29.0,43.0,40.3%,North America,1990
Immigrants,Puerto Rico,630,72.0,26.0,46.0,36.1%,North America,1990
Immigrants,Suriname,740,67.0,31.0,36.0,46.3%,South America,1990
Immigrants,Aruba,533,60.0,37.0,23.0,61.7%,North America,1990
Immigrants,Djibouti,262,53.0,18.0,35.0,34.0%,Africa,1990
Immigrants,Saint Vincent and the Grenadines,670,53.0,30.0,23.0,56.6%,North America,1990
Immigrants,Liberia,430,50.0,26.0,24.0,52.0%,Africa,1990
Immigrants,Lesotho,426,46.0,27.0,19.0,58.7%,Africa,1990
